# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;;;;;;
#;;;;;;;dmg reduction from;;;;;;;missile weapons only;;;;;
#;;;;;;%of dmg that will;armo is multiplied ;;100;50;;;;minimum speed;;;;;
#;;;;;%bonus dmg;go through shields;with this;;;;;;;of missiles;;;;;
key;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;end
SMALL_SCOURGE_PROJECTILE_WEAPON;12.50;-12.50;10.00;23.00;1.33;0.00;0.00;2.00;25.00;30.00;60.00;0.75;0.70;0.00;0.00;0.00;0.00;0.00;
MEDIUM_SCOURGE_PROJECTILE_WEAPON;25.00;-25.00;20.00;46.00;1.33;0.00;0.00;2.00;25.00;30.00;60.00;0.75;0.25;0.00;0.00;0.00;0.00;0.00;
# Fallen Empire;;;;;;;;;;;;;;;;;;;
LARGE_FALLEN_EMPIRE_SPACEPORT_LANCE;0.00;0.00;90.00;250.00;0.80;0.00;0.90;2.00;25.00;100.00;140.00;0.90;0.00;0.00;0.00;0.00;0.00;0.00;
# Point-Defense;;;;;;;;;;;;;;;;;;;
POINT_DEFENCE_1;5.00;-5.00;2.00;3.00;0.00;0.00;0.00;1.00;1.00;19.00;10.00;0.80;0.10;0.00;0.00;0.00;0.00;0.00;
POINT_DEFENCE_2;7.50;-7.50;3.00;4.00;0.00;0.00;0.00;1.00;1.00;19.00;10.00;0.80;0.20;0.00;0.00;0.00;0.00;0.00;
POINT_DEFENCE_3;10.00;-10.00;5.00;6.00;0.00;0.00;0.00;1.00;1.00;19.00;10.00;0.80;0.30;0.00;0.00;0.00;0.00;0.00;
# Event Weapons;;;;;;;;;;;;;;;;;;;
TECHNO_WEAPON;0.00;0.00;500.00;1000.00;1.50;0.00;0.75;10.00;20.00;100.00;120.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
TECHNO_PD;10.00;-10.00;15.00;20.00;0.00;0.00;0.00;1.00;1.00;5.00;10.00;0.80;0.50;0.00;0.00;0.00;0.00;0.00;
SMALL_EVENT_UV_LASER;7.50;-7.50;10.00;12.00;0.80;0.00;0.15;2.00;23.00;25.00;30.00;0.90;0.60;0.00;0.00;0.00;0.00;0.00;
MEDIUM_EVENT_UV_LASER;15.00;-15.00;16.00;26.00;0.80;0.00;0.30;2.00;23.00;25.00;30.00;0.85;0.30;0.00;0.00;0.00;0.00;0.00;
STELLARITE_MISSILE;50.00;-50.00;500.00;750.00;1.00;1.00;0.00;20.00;30.00;30.00;150.00;1.00;0.50;10.00;1.00;100.00;0.00;0.00;
STELLARITE_PLASMA;50.00;-50.00;250.00;325.00;0.80;0.00;0.90;2.00;15.00;10.00;150.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
STELLARITE_BEAM;300.00;-300.00;5000.00;7500.00;0.75;0.00;0.90;20.00;30.00;150.00;150.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
STELLARITE_LASER;10.00;-10.00;10.00;12.00;0.00;0.00;0.00;1.00;1.00;10.00;10.00;0.80;0.50;0.00;0.00;0.00;0.00;0.00;
DRAGON_WEAPON;0.00;-300.00;2000.00;3000.00;1.00;0.00;0.90;10.00;20.00;100.00;120.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
DRAGON_SECONDARY_WEAPON;0.00;-50.00;100.00;150.00;1.50;0.00;0.40;2.00;20.00;10.00;80.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
DRAGON_TERTIARY_WEAPON;10.00;-10.00;10.00;12.00;0.00;0.00;0.00;1.00;1.00;10.00;10.00;0.80;0.50;0.00;0.00;0.00;0.00;0.00;
DIMENSIONAL_HORROR_PRIMARY_WEAPON;300.00;-300.00;500.00;5000.00;1.00;1.00;1.00;20.00;30.00;150.00;250.00;0.85;0.00;0.00;0.00;0.00;0.00;0.00;
DIMENSIONAL_HORROR_LARGE_WEAPON;0.00;-100.00;250.00;1000.00;1.50;0.00;0.40;2.00;20.00;16.00;250.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
DIMENSIONAL_HORROR_MEDIUM_WEAPON;0.00;-50.00;100.00;400.00;1.50;0.00;0.40;2.00;18.00;15.00;250.00;0.80;0.50;0.00;0.00;0.00;0.00;0.00;
DIMENSIONAL_HORROR_SMALL_WEAPON;0.00;-25.00;50.00;200.00;1.50;0.00;0.40;2.00;16.00;14.00;250.00;0.80;0.25;0.00;0.00;0.00;0.00;0.00;
DIMENSIONAL_HORROR_PD;10.00;-10.00;10.00;50.00;0.00;0.00;0.00;1.00;1.00;15.00;250.00;0.80;0.50;0.00;0.00;0.00;0.00;0.00;
WRAITH_RED_LASER;50.00;-50.00;150.00;250.00;1.00;0.00;0.50;2.00;15.00;10.00;150.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
WRAITH_BLUE_LASER;50.00;-50.00;150.00;250.00;1.00;0.00;0.50;2.00;15.00;10.00;150.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
WRAITH_YELLOW_LASER;50.00;-50.00;150.00;250.00;1.00;0.00;0.50;2.00;15.00;10.00;150.00;0.80;0.75;0.00;0.00;0.00;0.00;0.00;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;
# EVE WEAPONS;;;;;;;;;;;;;;;;;;;
#key;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
# PULSE LASER TURRETS;;;;;;;;;;;;;;;;;;;
SMALL_PULSE_LASER_01;5;-3;15;20;0.8;0;0.33;2;20;75;56;0.9;0.6;0;0;0;0;0;
MEDIUM_PULSE_LASER_01;20;-43;30;40;0.8;0;0.33;2;20;75;75;0.85;0.3;0;0;0;0;0;
LARGE_PULSE_LASER_01;100;-300;90;120;0.8;0;0.33;2;20;75;100;0.8;0.05;0;0;0;0;0;
CAPITAL_PULSE_LASER_01;400;-9000;360;480;0.8;0;0.33;2;20;75;125;0.75;0.01;0;0;0;0;0;
SMALL_PULSE_LASER_02;10;-4;15;20;0.8;0;0.33;2;20;75;56;0.92;0.6;0;0;0;0;0;
MEDIUM_PULSE_LASER_02;40;-50;30;40;0.8;0;0.33;2;20;75;75;0.87;0.3;0;0;0;0;0;
LARGE_PULSE_LASER_02;200;-350;90;120;0.8;0;0.33;2;20;75;100;0.82;0.05;0;0;0;0;0;
CAPITAL_PULSE_LASER_02;800;-10000;360;480;0.8;0;0.33;2;20;75;125;0.77;0.01;0;0;0;0;0;
# BEAM LASER TURRETS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_BEAM_LASER_01;5;-3;15;25;0.8;0;0.5;2;25;100;112;0.99;0.6;0;0;0;0;0;
MEDIUM_BEAM_LASER_01;20;-43;30;50;0.8;0;0.5;2;25;100;150;0.95;0.3;0;0;0;0;0;
LARGE_BEAM_LASER_01;100;-300;90;150;0.8;0;0.5;2;25;100;200;0.9;0.05;0;0;0;0;0;
CAPITAL_BEAM_LASER_01;400;-9000;360;600;0.8;0;0.5;2;25;100;250;0.85;0.01;0;0;0;0;0;
SMALL_BEAM_LASER_02;10;-4;15;25;0.8;0;0.5;2;25;100;112;0.99;0.6;0;0;0;0;0;
MEDIUM_BEAM_LASER_02;40;-50;30;50;0.8;0;0.5;2;25;100;150;0.97;0.3;0;0;0;0;0;
LARGE_BEAM_LASER_02;200;-350;90;150;0.8;0;0.5;2;25;100;200;0.92;0.05;0;0;0;0;0;
CAPITAL_BEAM_LASER_02;800;-10000;360;600;0.8;0;0.5;2;25;100;250;0.87;0.01;0;0;0;0;0;
# AUTOCANNONS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_AUTOCANNONS_01;5;-3;10;15;1;0;0;2;15;50;34;0.82;0.6;0;0;0;0;0;
MEDIUM_AUTOCANNONS_01;20;-43;20;30;1;0;0;2;15;50;45;0.8;0.3;0;0;0;0;0;
LARGE_AUTOCANNONS_01;100;-300;60;90;1;0;0;2;15;50;60;0.75;0.05;0;0;0;0;0;
CAPITAL_AUTOCANNONS_01;400;-9000;360;480;1;0;0;2;15;50;125;0.7;0.01;0;0;0;0;0;
SMALL_AUTOCANNONS_02;10;-4;10;15;1;0;0;2;15;50;34;0.84;0.6;0;0;0;0;0;
MEDIUM_AUTOCANNONS_02;40;-50;20;30;1;0;0;2;15;50;45;0.82;0.3;0;0;0;0;0;
LARGE_AUTOCANNONS_02;200;-350;60;90;1;0;0;2;15;50;60;0.77;0.05;0;0;0;0;0;
CAPITAL_AUTOCANNONS_02;800;-10000;360;480;1;0;0;2;15;50;125;0.72;0.01;0;0;0;0;0;
# ARTILLERY CANNONS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_ARTILLERY_CANNONS_01;5;-3;25;50;1;0;0;2;35;200;112;0.82;0.6;0;0;0;0;0;
MEDIUM_ARTILLERY_CANNONS_01;20;-43;50;100;1;0;0;2;35;200;150;0.8;0.3;0;0;0;0;0;
LARGE_ARTILLERY_CANNONS_01;100;-300;150;300;1;0;0;2;35;200;200;0.75;0.05;0;0;0;0;0;
CAPITAL_ARTILLERY_CANNONS_01;400;-9000;600;1200;1;0;0;2;35;200;250;0.7;0.01;0;0;0;0;0;
SMALL_ARTILLERY_CANNONS_02;10;-4;25;50;1;0;0;2;35;200;112;0.84;0.6;0;0;0;0;0;
MEDIUM_ARTILLERY_CANNONS_02;40;-50;50;100;1;0;0;2;35;200;150;0.82;0.3;0;0;0;0;0;
LARGE_ARTILLERY_CANNONS_02;200;-350;150;300;1;0;0;2;35;200;200;0.77;0.05;0;0;0;0;0;
CAPITAL_ARTILLERY_CANNONS_02;800;-10000;600;1200;1;0;0;2;35;200;250;0.72;0.01;0;0;0;0;0;
# BLASTER TURRETS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_BLASTER_TURRET_01;5;-3;25;50;1.33;0;0;2;25;100;17;0.82;0.6;0;0;0;0;0;
MEDIUM_BLASTER_TURRET_01;20;-43;50;100;1.33;0;0;2;25;100;22;0.8;0.3;0;0;0;0;0;
LARGE_BLASTER_TURRET_01;100;-300;150;300;1.33;0;0;2;25;100;30;0.75;0.05;0;0;0;0;0;
CAPITAL_BLASTER_TURRET_01;400;-9000;600;1200;1.33;0;0;2;25;100;100;0.7;0.01;0;0;0;0;0;
SMALL_BLASTER_TURRET_02;10;-4;25;50;1.33;0;0;2;25;100;17;0.84;0.6;0;0;0;0;0;
MEDIUM_BLASTER_TURRET_02;40;-50;50;100;1.33;0;0;2;25;100;22;0.82;0.3;0;0;0;0;0;
LARGE_BLASTER_TURRET_02;200;-350;150;300;1.33;0;0;2;25;100;30;0.77;0.05;0;0;0;0;0;
CAPITAL_BLASTER_TURRET_02;800;-10000;600;1200;1.33;0;0;2;25;100;100;0.72;0.01;0;0;0;0;0;
# RAILGUNS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_RAILGUN_01;5;-3;15;25;1.33;0;0;2;25;100;127;0.82;0.6;0;0;0;0;0;
MEDIUM_RAILGUN_01;20;-43;30;50;1.33;0;0;2;25;100;169;0.8;0.3;0;0;0;0;0;
LARGE_RAILGUN_01;100;-300;90;150;1.33;0;0;2;25;100;225;0.75;0.05;0;0;0;0;0;
CAPITAL_RAILGUN_01;400;-9000;360;600;1.33;0;0;2;25;100;275;0.7;0.01;0;0;0;0;0;
SMALL_RAILGUN_02;10;-4;15;25;1.33;0;0;2;25;100;127;0.84;0.6;0;0;0;0;0;
MEDIUM_RAILGUN_02;40;-50;30;50;1.33;0;0;2;25;100;169;0.82;0.3;0;0;0;0;0;
LARGE_RAILGUN_02;200;-350;90;150;1.33;0;0;2;25;100;225;0.77;0.05;0;0;0;0;0;
CAPITAL_RAILGUN_02;800;-10000;360;600;1.33;0;0;2;25;100;275;0.72;0.01;0;0;0;0;0;
# MISSILE LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
LIGHT_MISSILE_LAUNCHER_01;5;-3;15;25;1;0;0;2;25;100;57;1;0.6;5;0.1;0;0;0;
HEAVY_MISSILE_LAUNCHER_01;20;-43;30;50;1;0;0;2;25;100;75;1;0.3;5;0.2;0;0;0;
LIGHT_MISSILE_LAUNCHER_02;7;-4;15;25;1;0;0;2;25;100;57;1;0.6;5;0.1;0;0;0;
HEAVY_MISSILE_LAUNCHER_02;30;-50;30;50;1;0;0;2;25;100;75;1;0.3;5;0.2;0;0;0;
# RAPID MISSILE LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
RAPID_LIGHT_MISSILE_LAUNCHER_01;20;-43;30;40;1;0;0;2;20;75;75;1;0.3;5;0.2;0;0;0;
RAPID_HEAVY_MISSILE_LAUNCHER_01;100;-300;90;120;1;0;0;2;20;75;100;1;0.05;5;0.3;0;0;0;
RAPID_LIGHT_MISSILE_LAUNCHER_02;30;-50;30;40;1;0;0;2;20;75;75;1;0.3;5;0.2;0;0;0;
RAPID_HEAVY_MISSILE_LAUNCHER_02;150;-350;90;120;1;0;0;2;20;75;100;1;0.05;5;0.3;0;0;0;
# ROCKET LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
ROCKET_LAUNCHER_01;5;-3;25;50;1;0;0;2;25;100;17;1;0.6;5;0.4;0;0;0;
ROCKET_LAUNCHER_02;7;-4;25;50;1;0;0;2;25;100;17;1;0.6;5;0.5;0;0;0;
# TORPEDO LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
LARGE_TORPEDO_LAUNCHER_01;100;-300;90;150;1;0;0;2;20;75;40;1;0.05;5;0.1;0;0;0;
CAPITAL_TORPEDO_LAUNCHER_01;400;-9000;360;600;1;0;0;2;20;75;100;1;0.01;5;0.1;0;0;0;
LARGE_TORPEDO_LAUNCHER_02;150;-350;90;150;1;0;0;2;20;75;40;1;0.05;5;0.2;0;0;0;
CAPITAL_TORPEDO_LAUNCHER_02;700;-10000;360;600;1;0;0;2;20;75;100;1;0.01;5;0.2;0;0;0;
# CRUISE MISSILE LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
LARGE_CRUISE_MISSILE_LAUNCHER_01;100;-300;90;150;1;0;0;2;25;100;200;1;0.05;5;0.1;0;0;0;
CAPITAL_CRUISE_MISSILE_LAUNCHER_01;400;-9000;360;600;1;0;0;2;25;100;250;1;0.01;5;0.1;0;0;0;
LARGE_CRUISE_MISSILE_LAUNCHER_02;150;-350;90;150;1;0;0;2;25;100;200;1;0.05;5;0.2;0;0;0;
CAPITAL_CRUISE_MISSILE_LAUNCHER_02;700;-10000;360;600;1;0;0;2;25;100;250;1;0.01;5;0.2;0;0;0;
# DEFENDER MISSILE LAUNCHERS;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
SMALL_DEFENDER_MISSILE_LAUNCHER_01;5;-3;1;2;1;0;0;1;3;7;10;0.2;0.6;0;0;0;0;0;
MEDIUM_DEFENDER_MISSILE_LAUNCHER_01;20;-43;2;3;1;0;0;1;3;7;10;0.3;0.3;0;0;0;0;0;
LARGE_DEFENDER_MISSILE_LAUNCHER_01;100;-300;3;4;1;0;0;1;3;7;10;0.4;0.05;0;0;0;0;0;
SMALL_DEFENDER_MISSILE_LAUNCHER_02;10;-4;2;4;1;0;0;1;2;7;20;0.3;0.6;0;0;0;0;0;
MEDIUM_DEFENDER_MISSILE_LAUNCHER_02;40;-50;4;6;1;0;0;1;2;7;20;0.4;0.3;0;0;0;0;0;
LARGE_DEFENDER_MISSILE_LAUNCHER_02;200;-350;6;8;1;0;0;1;2;7;20;0.5;0.05;0;0;0;0;0;
# DOOMSDAY DEVICES;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_health;missile_armor;missile_shield;
KINETIC_DOOMSDAY_DEVICE;500;-5000;6000;10000;2;0;0;30;45;180;200;1;0.05;0;0;0;0;0;
EXPLOSIVE_DOOMSDAY_DEVICE;500;-5000;6000;10000;1;0;0;2;8;16;200;1;0.05;20;0.9;10;0;0;
LASER_DOOMSDAY_DEVICE;500;-5000;6000;10000;1;0;1;30;45;180;200;1;0.05;0;0;0;0;0;
